occasion,section,date,time,tag_id,tag_id2,duplicate,ghost_tag
1,14,01/12/2022,14:10:05.000,900.226001698341,ID900.226001698341,No,Yes
1,14,01/12/2022,14:10:09.000,900.226001698365,ID900.226001698365,Yes,No
1,14,01/12/2022,14:10:15.000,900.226001698341,ID900.226001698341,Yes,Yes
1,14,01/12/2022,14:10:35.000,900.226001167871,ID900.226001167871,No,Yes
1,15,01/12/2022,14:11:07.000,989.002009085551,ID989.002009085551,Yes,Yes
1,15,01/12/2022,14:11:36.000,900.226001167817,ID900.226001167817,No,Yes
1,15,01/12/2022,14:11:49.000,900.226001167817,ID900.226001167817,Yes,Yes
1,15,01/12/2022,14:12:40.000,900.226001167942,ID900.226001167942,No,No
1,15,01/12/2022,14:12:41.000,900.226001698969,ID900.226001698969,No,Yes
1,15,01/12/2022,14:12:52.000,900.226001698969,ID900.226001698969,Yes,Yes
1,15,01/12/2022,14:12:53.000,900.226001167942,ID900.226001167942,Yes,Yes
1,15,01/12/2022,14:13:04.000,900.226001698969,ID900.226001698969,Yes,Yes
1,15,01/12/2022,14:13:05.000,900.226001167942,ID900.226001167942,Yes,Yes
1,15,01/12/2022,14:13:16.000,900.226001167942,ID900.226001167942,Yes,Yes
1,15,01/12/2022,14:13:20.000,900.226001698969,ID900.226001698969,Yes,Yes
1,15,01/12/2022,14:13:27.000,900.226001167942,ID900.226001167942,Yes,Yes
1,15,01/12/2022,14:13:34.000,900.226001698994,ID900.226001698994,No,Yes
1,15,01/12/2022,14:13:44.000,900.226001698994,ID900.226001698994,Yes,Yes
1,15,01/12/2022,14:13:55.000,900.226001698994,ID900.226001698994,Yes,Yes
1,16,01/12/2022,14:14:06.000,989.002009085551,ID989.002009085551,Yes,Yes
1,16,01/12/2022,14:14:06.000,900.226001698994,ID900.226001698994,Yes,Yes
1,16,01/12/2022,14:15:05.000,900.226001698480,ID900.226001698480,No,Yes
1,16,01/12/2022,14:15:17.000,900.226001698480,ID900.226001698480,Yes,Yes
1,17,01/12/2022,14:16:16.000,989.002009085551,ID989.002009085551,Yes,Yes
1,17,01/12/2022,14:16:37.000,900.226001698144,ID900.226001698144,No,No
1,17,01/12/2022,14:17:03.000,900.226001698387,ID900.226001698387,No,Yes
1,17,01/12/2022,14:17:17.000,900.226001698387,ID900.226001698387,Yes,Yes
1,18,01/12/2022,14:18:23.000,989.002009085551,ID989.002009085551,Yes,Yes
1,18,01/12/2022,14:18:43.000,900.226001698582,ID900.226001698582,No,No
1,18,01/12/2022,14:19:03.000,900.226001698914,ID900.226001698914,No,Yes
1,18,01/12/2022,14:19:14.000,900.226001698914,ID900.226001698914,Yes,Yes
1,19,01/12/2022,14:19:24.000,989.002009085551,ID989.002009085551,Yes,Yes
1,19,01/12/2022,14:19:37.000,900.226001698395,ID900.226001698395,No,No
1,19,01/12/2022,14:19:37.000,900.226001167865,ID900.226001167865,No,No
1,19,01/12/2022,14:19:49.000,900.226001698395,ID900.226001698395,Yes,No
1,19,01/12/2022,14:19:50.000,900.226001167865,ID900.226001167865,Yes,No
1,19,01/12/2022,14:20:00.000,900.226001698395,ID900.226001698395,Yes,No
1,19,01/12/2022,14:20:35.000,900.226001698323,ID900.226001698323,No,Yes
1,19,01/12/2022,14:20:45.000,900.226001698323,ID900.226001698323,Yes,Yes
1,19,01/12/2022,14:20:56.000,900.226001698323,ID900.226001698323,Yes,Yes
1,19,01/12/2022,14:21:05.000,900.226001698169,ID900.226001698169,No,Yes
1,19,01/12/2022,14:21:18.000,900.226001698169,ID900.226001698169,Yes,Yes
1,19,01/12/2022,14:21:31.000,900.226001698169,ID900.226001698169,Yes,Yes
1,19,01/12/2022,14:21:39.000,900.226001698167,ID900.226001698167,No,No
1,19,01/12/2022,14:21:45.000,900.226001698149,ID900.226001698149,No,Yes
1,19,01/12/2022,14:21:50.000,900.226001167811,ID900.226001167811,No,Yes
1,19,01/12/2022,14:21:58.000,900.226001698149,ID900.226001698149,Yes,Yes
1,19,01/12/2022,14:22:05.000,900.226001167811,ID900.226001167811,Yes,Yes
1,19,01/12/2022,14:22:08.000,900.226001698149,ID900.226001698149,Yes,Yes
1,19,01/12/2022,14:22:16.000,900.226001167811,ID900.226001167811,Yes,Yes
1,20,01/12/2022,14:22:42.000,989.002009085551,ID989.002009085551,Yes,Yes
1,20,01/12/2022,14:23:32.000,900.226001697492,ID900.226001697492,No,No
1,20,01/12/2022,14:23:56.000,900.226001167779,ID900.226001167779,No,Yes
1,20,01/12/2022,14:24:06.000,900.226001167779,ID900.226001167779,Yes,Yes
1,20,01/12/2022,14:24:27.000,900.226001698987,ID900.226001698987,No,Yes
1,20,01/12/2022,14:24:32.000,900.226001698404,ID900.226001698404,No,Yes
1,20,01/12/2022,14:24:38.000,900.226001698987,ID900.226001698987,Yes,Yes
1,20,01/12/2022,14:24:42.000,900.226001698404,ID900.226001698404,Yes,Yes
1,20,01/12/2022,14:24:50.000,900.226001698987,ID900.226001698987,Yes,Yes
1,20,01/12/2022,14:24:57.000,900.226001698404,ID900.226001698404,Yes,Yes
1,20,01/12/2022,14:25:02.000,900.226001698987,ID900.226001698987,Yes,Yes
1,20,01/12/2022,14:25:15.000,900.226001697567,ID900.226001697567,No,No
1,20,01/12/2022,14:25:16.000,900.226001167804,ID900.226001167804,No,Yes
1,20,01/12/2022,14:25:25.000,900.226001697567,ID900.226001697567,Yes,No
1,20,01/12/2022,14:25:31.000,900.226001167804,ID900.226001167804,Yes,Yes
1,20,01/12/2022,14:25:42.000,900.226001167804,ID900.226001167804,Yes,Yes
1,20,01/12/2022,14:26:31.000,900.226001698926,ID900.226001698926,No,Yes
1,20,01/12/2022,14:26:48.000,900.226001698926,ID900.226001698926,Yes,Yes
1,20,01/12/2022,14:26:59.000,900.226001698926,ID900.226001698926,Yes,Yes
1,20,01/12/2022,14:27:15.000,900.226001167891,ID900.226001167891,No,Yes
1,20,01/12/2022,14:27:26.000,900.226001167891,ID900.226001167891,Yes,Yes
1,20,01/12/2022,14:27:42.000,900.226001697567,ID900.226001697567,Yes,No
1,20,01/12/2022,14:27:58.000,900.226001697567,ID900.226001697567,Yes,No
1,20,01/12/2022,14:28:08.000,900.226001697292,ID900.226001697292,No,No
